model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemini-3.1-flash-lite,benchmark/request_1k.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,988.78,1028.26,4144.55,5161.45,5974.97,6178.35,996,996,996,996,996,996,518,582,603,608,612,613,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,1603.52,1777.26,3234.39,3700.16,4072.78,4165.93,996,996,996,996,996,996,555,617,686,695,702,704,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,2451.44,2749.66,4383.51,4897.49,5308.67,5411.46,996,996,996,996,996,996,603,689,715,721,726,727,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,4564.37,4949.93,6648.42,7182.02,7608.90,7715.63,996,996,996,996,996,996,583,624,696,719,738,743,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,849.90,1007.61,2679.31,3210.09,3634.72,3740.87,996,996,996,996,996,996,478,564,584,584,584,584,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,816.33,922.90,2934.83,3464.86,3888.89,3994.90,1778,1778,1778,1778,1778,1778,547,569,641,648,654,655,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,1252.15,1603.98,3454.84,4064.14,4551.58,4673.44,1778,1778,1778,1778,1778,1778,636,698,771,780,787,789,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,2582.15,2683.11,4311.87,4760.11,5118.71,5208.35,1778,1778,1778,1778,1778,1778,656,705,810,813,815,816,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,4219.36,4514.83,6172.13,6630.71,6997.58,7089.30,1778,1778,1778,1778,1778,1778,689,741,807,818,828,830,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,5,889.83,989.79,2689.11,3226.09,3655.68,3763.08,1778,1778,1778,1778,1778,1778,602,634,644,644,644,644,0,0,0,0,0,0
