model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemini-3.1-flash-lite,benchmark/request_1k.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,730.38,822.04,1352.81,1524.62,1662.07,1696.44,996,996,996,996,996,996,534,598,678,696,710,714,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,1110.75,1349.76,1612.28,1675.00,1725.17,1737.71,996,996,996,996,996,996,526,591,678,698,715,719,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,2001.72,2320.69,2973.55,3146.02,3284.00,3318.49,996,996,996,996,996,996,630,661,781,808,829,834,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,3906.70,4564.59,4775.43,4830.17,4873.95,4884.90,996,996,996,996,996,996,559,617,651,659,665,666,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_1k.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,686.17,760.89,1256.36,1374.86,1469.65,1493.35,996,996,996,996,996,996,514,591,631,643,653,655,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,710.28,878.58,1223.51,1312.94,1384.48,1402.36,1778,1778,1778,1778,1778,1778,582,608,627,631,634,635,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,1036.89,1151.39,1747.44,1905.24,2031.48,2063.04,1778,1778,1778,1778,1778,1778,613,706,764,782,796,799,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,2239.47,2375.30,2622.08,2633.90,2643.36,2645.73,1778,1778,1778,1778,1778,1778,635,824,848,848,848,848,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,4057.43,4599.87,4855.02,4932.57,4994.61,5010.13,1778,1778,1778,1778,1778,1778,669,718,867,869,871,871,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_2k.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,678.48,808.99,1262.72,1387.07,1486.55,1511.42,1778,1778,1778,1778,1778,1778,549,590,670,680,688,690,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_5k.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,846.74,934.69,1373.59,1510.39,1619.84,1647.20,3883,3883,3883,3883,3883,3883,717,751,785,792,798,800,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_5k.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,1156.62,1335.38,1804.30,1953.77,2073.34,2103.23,3883,3883,3883,3883,3883,3883,798,815,873,890,904,908,0,0,0,0,0,0
gemini-3.1-flash-lite,benchmark/request_5k.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,us,5,2417.09,2702.38,3292.90,3474.18,3619.20,3655.46,3883,3883,3883,3883,3883,3883,733,751,804,810,815,816,0,0,0,0,0,0
