model,request_file,thinking_level,thinking_budget,traffic_type,project,location,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,cached_tokens_min,cached_tokens_p50,cached_tokens_p90,cached_tokens_p95,cached_tokens_p99,cached_tokens_max
gemini-3.1-pro-preview,/home/wangez/slow_request_40s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,49955.79,49955.79,49955.79,49955.79,49955.79,49955.79,23044,23044,23044,23044,23044,23044,320,320,320,320,320,320,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_40s.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,21908.77,21908.77,21908.77,21908.77,21908.77,21908.77,23044,23044,23044,23044,23044,23044,28,28,28,28,28,28,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_40s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,70369.72,70369.72,70369.72,70369.72,70369.72,70369.72,23044,23044,23044,23044,23044,23044,16,16,16,16,16,16,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_40s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,47082.98,47082.98,47082.98,47082.98,47082.98,47082.98,23044,23044,23044,23044,23044,23044,117,117,117,117,117,117,20040,20040,20040,20040,20040,20040
gemini-3.1-pro-preview,/home/wangez/slow_request_60s.json,low,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,4495.33,4495.33,4495.33,4495.33,4495.33,4495.33,51513,51513,51513,51513,51513,51513,161,161,161,161,161,161,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_60s.json,medium,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,13992.34,13992.34,13992.34,13992.34,13992.34,13992.34,51513,51513,51513,51513,51513,51513,1803,1803,1803,1803,1803,1803,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_60s.json,high,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,14665.88,14665.88,14665.88,14665.88,14665.88,14665.88,51513,51513,51513,51513,51513,51513,1600,1600,1600,1600,1600,1600,0,0,0,0,0,0
gemini-3.1-pro-preview,/home/wangez/slow_request_60s.json,,,TrafficType.ON_DEMAND,cloud-llm-preview1,global,1,12901.60,12901.60,12901.60,12901.60,12901.60,12901.60,51513,51513,51513,51513,51513,51513,1580,1580,1580,1580,1580,1580,48639,48639,48639,48639,48639,48639
gemini-3-flash-preview,/home/wangez/slow_request_40s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,37795.94,37795.94,37795.94,37795.94,37795.94,37795.94,23676,23676,23676,23676,23676,23676,31,31,31,31,31,31,0,0,0,0,0,0
gemini-3-flash-preview,/home/wangez/slow_request_40s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,3060.45,3060.45,3060.45,3060.45,3060.45,3060.45,23676,23676,23676,23676,23676,23676,1360,1360,1360,1360,1360,1360,0,0,0,0,0,0
gemini-3-flash-preview,/home/wangez/slow_request_40s.json,medium,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,37967.41,37967.41,37967.41,37967.41,37967.41,37967.41,23676,23676,23676,23676,23676,23676,1021,1021,1021,1021,1021,1021,0,0,0,0,0,0
gemini-3-flash-preview,/home/wangez/slow_request_40s.json,high,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,32473.34,32473.34,32473.34,32473.34,32473.34,32473.34,23676,23676,23676,23676,23676,23676,27,27,27,27,27,27,0,0,0,0,0,0
gemini-3-flash-preview,/home/wangez/slow_request_40s.json,,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,37259.80,37259.80,37259.80,37259.80,37259.80,37259.80,23676,23676,23676,23676,23676,23676,31,31,31,31,31,31,20393,20393,20393,20393,20393,20393
gemini-3-flash-preview,/home/wangez/slow_request_60s.json,minimal,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,11160.45,11160.45,11160.45,11160.45,11160.45,11160.45,59976,59976,59976,59976,59976,59976,1980,1980,1980,1980,1980,1980,0,0,0,0,0,0
gemini-3-flash-preview,/home/wangez/slow_request_60s.json,low,,TrafficType.PROVISIONED_THROUGHPUT,cloud-llm-preview1,global,1,14654.73,14654.73,14654.73,14654.73,14654.73,14654.73,59976,59976,59976,59976,59976,59976,2120,2120,2120,2120,2120,2120,0,0,0,0,0,0
