model,request_file,effort,iterations,response_time_min_ms,response_time_p50_ms,response_time_p90_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max
claude-opus-4-7,slow_request_40s,high,10,2175.35,2557.39,3398.76,3880.29,4265.52,4361.83,27121,27121,27121,27121,27121,27121,82,142,160,187,209,214
claude-opus-4-7,slow_request_40s,medium,10,1525.35,2783.34,3308.60,3548.03,3739.57,3787.46,27121,27121,27121,27121,27121,27121,82,144,213,214,214,214
claude-opus-4-7,slow_request_40s,low,10,1874.08,2466.74,3465.63,3828.50,4118.80,4191.37,27121,27121,27121,27121,27121,27121,118,143,164,194,219,225
claude-opus-4-7,slow_request_60s,high,10,1964.32,2380.89,3799.13,4230.65,4575.87,4662.17,60554,60554,60554,60554,60554,60554,77,102,141,169,191,197
claude-opus-4-7,slow_request_60s,medium,10,2034.48,3000.76,4239.54,4293.61,4336.86,4347.67,60554,60554,60554,60554,60554,60554,75,106,268,297,321,327
claude-opus-4-7,slow_request_60s,low,10,1876.85,2242.02,2597.78,2632.02,2659.41,2666.26,60554,60554,60554,60554,60554,60554,89,89,118,118,118,118
claude-opus-4-6,slow_request_40s,high,10,2010.04,3064.51,5928.72,6017.54,6088.60,6106.37,28801,28801,28801,28801,28801,28801,67,146,185,205,222,226
claude-opus-4-6,slow_request_40s,medium,10,2445.82,2806.20,3265.48,3850.43,4318.40,4435.39,28801,28801,28801,28801,28801,28801,134,142,149,151,153,154
claude-opus-4-6,slow_request_40s,low,10,2604.79,3683.89,5230.51,5437.78,5603.60,5645.05,28801,28801,28801,28801,28801,28801,86,140,225,272,309,318
claude-opus-4-6,slow_request_60s,high,10,2395.91,4987.13,9277.94,9385.51,9471.57,9493.08,57242,57242,57242,57242,57242,57242,92,248,343,372,394,400
claude-opus-4-6,slow_request_60s,medium,10,2778.36,4131.53,6289.66,6875.23,7343.69,7460.81,57242,57242,57242,57242,57242,57242,92,148,245,252,257,258
claude-opus-4-6,slow_request_60s,low,10,2306.06,4091.39,5876.34,7138.23,8147.74,8400.12,57242,57242,57242,57242,57242,57242,92,150,213,214,214,214
claude-sonnet-4-6,slow_request_40s,high,10,1484.44,3574.18,5435.62,5810.77,6110.89,6185.92,21231,21231,21231,21231,21231,21231,67,153,212,212,212,212
claude-sonnet-4-6,slow_request_40s,medium,10,2247.70,3531.53,5711.12,5736.94,5757.60,5762.76,21231,21231,21231,21231,21231,21231,120,166,225,227,229,230
claude-sonnet-4-6,slow_request_40s,low,10,2797.80,3578.95,4694.23,5607.80,6338.66,6521.37,21231,21231,21231,21231,21231,21231,106,126,218,221,223,223
claude-sonnet-4-6,slow_request_60s,high,10,1876.64,3462.07,5146.07,5373.76,5555.91,5601.45,45065,45065,45065,45065,45065,45065,72,150,224,250,272,277
claude-sonnet-4-6,slow_request_60s,medium,10,1816.53,2142.53,6542.15,7256.01,7827.11,7969.88,45065,45065,45065,45065,45065,45065,55,92,231,247,261,264
claude-sonnet-4-6,slow_request_60s,low,10,1768.37,2443.77,4295.98,4434.91,4546.05,4573.84,45065,45065,45065,45065,45065,45065,55,92,170,189,203,207
