model,request_file,effort,iterations,ttft_min_ms,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,response_time_min_ms,response_time_p50_ms,response_time_p90_ms,response_time_p95_ms,response_time_p99_ms,response_time_max_ms,input_tokens_min,input_tokens_p50,input_tokens_p90,input_tokens_p95,input_tokens_p99,input_tokens_max,output_tokens_min,output_tokens_p50,output_tokens_p90,output_tokens_p95,output_tokens_p99,output_tokens_max,thinking_tokens_min,thinking_tokens_p50,thinking_tokens_p90,thinking_tokens_p95,thinking_tokens_p99,thinking_tokens_max,source_json
claude-opus-4-6,slow_request_40s,high,10,999.48,1296.32,1706.70,1961.89,2166.04,2217.08,2631.72,3036.26,3706.25,4635.17,5378.31,5564.10,28801,28801,28801,28801,28801,28801,111,142,157,190,216,223,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_40s_high_20260529_024539.json
claude-opus-4-6,slow_request_40s,medium,10,1061.13,1165.63,1479.65,1586.60,1672.16,1693.55,2665.67,2878.11,3585.82,3858.02,4075.78,4130.22,28801,28801,28801,28801,28801,28801,142,147,216,224,230,232,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_40s_medium_20260529_024539.json
claude-opus-4-6,slow_request_40s,low,10,0.00,1154.20,1516.74,1871.67,2155.61,2226.60,2212.96,2704.29,3809.56,4365.20,4809.70,4920.83,28801,28801,28801,28801,28801,28801,105,111,222,255,281,287,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_40s_low_20260529_024539.json
claude-opus-4-6,slow_request_60s,high,10,1373.11,1655.59,1920.14,2024.12,2107.30,2128.10,3020.08,3745.18,5759.63,5972.99,6143.68,6186.35,57242,57242,57242,57242,57242,57242,107,164,279,296,310,314,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_60s_high_20260529_024539.json
claude-opus-4-6,slow_request_60s,medium,10,0.00,1510.93,2004.51,2524.36,2940.23,3044.20,2329.38,3911.70,5395.83,5398.95,5401.45,5402.07,57242,57242,57242,57242,57242,57242,92,146,249,253,256,257,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_60s_medium_20260529_024539.json
claude-opus-4-6,slow_request_60s,low,10,0.00,1611.28,2002.47,2792.20,3423.98,3581.93,3047.22,3757.07,6135.63,7190.60,8034.58,8245.58,57242,57242,57242,57242,57242,57242,92,152,228,321,396,415,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-opus-4-6_slow_request_60s_low_20260529_024539.json
claude-sonnet-4-6,slow_request_40s,high,10,0.00,0.00,1195.02,1462.65,1676.75,1730.28,1563.86,3077.82,4384.24,4657.83,4876.70,4931.42,21231,21231,21231,21231,21231,21231,67,160,216,249,275,281,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_40s_high_20260529_024539.json
claude-sonnet-4-6,slow_request_40s,medium,10,0.00,969.37,2471.97,2751.63,2975.36,3031.29,1535.77,3124.06,4642.66,5126.31,5513.23,5609.96,21231,21231,21231,21231,21231,21231,67,196,216,218,220,220,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_40s_medium_20260529_024539.json
claude-sonnet-4-6,slow_request_40s,low,10,0.00,888.07,1180.54,1358.59,1501.04,1536.65,2743.26,3900.86,5034.88,6417.90,7524.32,7800.93,21231,21231,21231,21231,21231,21231,103,132,240,260,277,281,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_40s_low_20260529_024539.json
claude-sonnet-4-6,slow_request_60s,high,10,0.00,1297.67,1867.37,2115.03,2313.17,2362.70,2135.07,4053.75,5336.25,5833.30,6230.95,6330.36,45065,45065,45065,45065,45065,45065,68,172,221,223,225,226,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_60s_high_20260529_024539.json
claude-sonnet-4-6,slow_request_60s,medium,10,0.00,0.00,1306.65,1333.34,1354.69,1360.03,2195.73,3523.49,3759.00,3779.30,3795.54,3799.60,45065,45065,45065,45065,45065,45065,68,74,107,138,163,169,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_60s_medium_20260529_024539.json
claude-sonnet-4-6,slow_request_60s,low,10,0.00,0.00,1618.20,1675.64,1721.60,1733.09,2232.59,3347.48,5013.79,5426.29,5756.30,5838.80,45065,45065,45065,45065,45065,45065,55,92,264,273,280,282,0,0,0,0,0,0,/home/wangez/gemini-perf-test/claude_perf_results/json_results_20260529_024539/claude-sonnet-4-6_slow_request_60s_low_20260529_024539.json
